<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,115900,211.72000000,211.72000000,211.13000000,211.13000000,9368.85100000
SOLUSDT,1,241112,115800,211.70000000,212.08000000,211.68000000,211.71000000,9118.51500000
SOLUSDT,1,241112,115700,211.81000000,212.09000000,211.56000000,211.70000000,9763.00400000
SOLUSDT,1,241112,115600,210.88000000,211.95000000,210.88000000,211.80000000,13165.77100000
SOLUSDT,1,241112,115500,211.48000000,211.57000000,210.84000000,210.88000000,16988.05700000
SOLUSDT,1,241112,115400,211.62000000,211.62000000,211.27000000,211.47000000,18804.34600000
SOLUSDT,1,241112,115300,212.31000000,212.49000000,211.46000000,211.62000000,20029.91500000
SOLUSDT,1,241112,115200,212.73000000,212.81000000,212.31000000,212.32000000,9543.40700000
SOLUSDT,1,241112,115100,212.65000000,212.84000000,212.44000000,212.74000000,9661.55300000
SOLUSDT,1,241112,115000,213.03000000,213.15000000,212.53000000,212.65000000,10318.12100000
SOLUSDT,1,241112,114900,213.25000000,213.34000000,213.00000000,213.02000000,10217.97500000
SOLUSDT,1,241112,114800,213.84000000,214.04000000,213.04000000,213.25000000,13490.88000000
SOLUSDT,1,241112,114700,213.88000000,214.44000000,213.75000000,213.84000000,11166.02100000
SOLUSDT,1,241112,114600,213.94000000,214.38000000,213.86000000,213.88000000,7335.80000000
SOLUSDT,1,241112,114500,213.69000000,214.03000000,213.57000000,213.94000000,11396.57200000
SOLUSDT,1,241112,114400,214.33000000,214.33000000,213.56000000,213.70000000,14538.84800000
SOLUSDT,1,241112,114300,215.08000000,215.08000000,214.33000000,214.34000000,9029.54900000
SOLUSDT,1,241112,114200,214.95000000,215.26000000,214.67000000,215.08000000,11470.63900000
SOLUSDT,1,241112,114100,214.83000000,215.20000000,214.81000000,214.94000000,7526.17100000
SOLUSDT,1,241112,114000,214.99000000,215.03000000,214.80000000,214.84000000,9577.92800000
SOLUSDT,1,241112,113900,215.08000000,215.18000000,214.91000000,214.99000000,7297.07100000
SOLUSDT,1,241112,113800,215.54000000,215.54000000,215.01000000,215.07000000,9878.87200000
SOLUSDT,1,241112,113700,215.20000000,215.64000000,215.20000000,215.55000000,7513.38600000
SOLUSDT,1,241112,113600,215.16000000,215.48000000,214.94000000,215.21000000,11227.82200000
SOLUSDT,1,241112,113500,215.30000000,215.38000000,214.96000000,215.16000000,12259.92600000
SOLUSDT,1,241112,113400,215.10000000,215.50000000,215.05000000,215.30000000,7629.41600000
SOLUSDT,1,241112,113300,215.05000000,215.14000000,214.85000000,215.10000000,7849.36900000
SOLUSDT,1,241112,113200,215.00000000,215.28000000,214.76000000,215.05000000,6140.59400000
SOLUSDT,1,241112,113100,214.93000000,215.14000000,214.73000000,215.01000000,4784.61000000
SOLUSDT,1,241112,113000,214.78000000,215.31000000,214.56000000,214.94000000,8389.87900000
SOLUSDT,1,241112,112900,214.84000000,214.97000000,214.68000000,214.79000000,4075.51600000
SOLUSDT,1,241112,112800,215.38000000,215.38000000,214.75000000,214.83000000,7290.60400000
SOLUSDT,1,241112,112700,215.55000000,215.59000000,215.07000000,215.38000000,7301.86800000
SOLUSDT,1,241112,112600,215.40000000,215.75000000,215.26000000,215.55000000,8690.23800000
SOLUSDT,1,241112,112500,215.50000000,215.60000000,215.03000000,215.41000000,8244.35600000
SOLUSDT,1,241112,112400,215.27000000,215.58000000,215.12000000,215.51000000,7058.32400000
SOLUSDT,1,241112,112300,215.34000000,215.43000000,215.16000000,215.27000000,5513.06100000
SOLUSDT,1,241112,112200,215.12000000,215.34000000,214.81000000,215.34000000,8681.14500000
SOLUSDT,1,241112,112100,214.70000000,215.26000000,214.63000000,215.13000000,8164.08700000
SOLUSDT,1,241112,112000,214.57000000,214.70000000,214.36000000,214.70000000,12901.03400000
SOLUSDT,1,241112,111900,213.55000000,214.58000000,213.37000000,214.56000000,8375.78200000
SOLUSDT,1,241112,111800,213.11000000,213.70000000,212.93000000,213.54000000,4984.45200000
SOLUSDT,1,241112,111700,213.12000000,213.38000000,212.87000000,213.11000000,5018.25400000
SOLUSDT,1,241112,111600,212.71000000,213.17000000,212.55000000,213.13000000,5340.73000000
SOLUSDT,1,241112,111500,212.55000000,212.77000000,212.07000000,212.72000000,7378.77200000
SOLUSDT,1,241112,111400,213.23000000,213.26000000,212.47000000,212.54000000,9224.76800000
SOLUSDT,1,241112,111300,213.39000000,213.62000000,212.84000000,213.22000000,5668.25100000
SOLUSDT,1,241112,111200,213.31000000,213.80000000,213.00000000,213.40000000,6867.29100000
SOLUSDT,1,241112,111100,213.32000000,213.54000000,213.05000000,213.31000000,4745.52900000
SOLUSDT,1,241112,111000,213.13000000,213.81000000,212.89000000,213.32000000,6173.13100000
SOLUSDT,1,241112,110900,214.06000000,214.06000000,212.80000000,213.12000000,14785.25300000
SOLUSDT,1,241112,110800,213.79000000,214.53000000,213.56000000,214.06000000,8361.03600000
SOLUSDT,1,241112,110700,213.84000000,214.23000000,213.71000000,213.80000000,9890.72400000
SOLUSDT,1,241112,110600,213.15000000,213.98000000,213.00000000,213.85000000,7863.74200000
SOLUSDT,1,241112,110500,212.98000000,213.50000000,212.72000000,213.11000000,8465.71500000
SOLUSDT,1,241112,110400,213.01000000,213.33000000,212.53000000,212.97000000,6955.50700000
SOLUSDT,1,241112,110300,212.88000000,213.08000000,212.54000000,213.02000000,6386.72800000
SOLUSDT,1,241112,110200,213.84000000,213.84000000,212.79000000,212.88000000,10262.40300000
SOLUSDT,1,241112,110100,213.04000000,214.15000000,212.75000000,213.84000000,13570.09600000
SOLUSDT,1,241112,110000,213.15000000,213.17000000,212.04000000,213.03000000,18129.41300000
SOLUSDT,1,241112,105900,213.82000000,213.89000000,213.04000000,213.16000000,10856.26300000
